Domain Name,Found Object,URL,Pattern,Found
https://www.seologs.com/,When was the last time you checked your site for,https://www.seologs.com/fixing-404s-for-seo/#more-763,When was the last time you checked your site for,True
https://allthingsblogging.com/,Not Found,,When was the last time you checked your site for,False
https://www.seologs.com/,When was the last time you checked your site for,https://www.seologs.com/,When was the last time you checked your site for,True
http://badijones.com/,Not Found,,When was the last time you checked your site for,False
